id,name,price,created_at,updated_at
2,"Acer Chromebook Enterprise Spin 514 Convertible Laptop | Intel Core i3-1110G4 | 14"" FHD IPS Touch Gorilla Glass | 8GB LPDDR4X | 128GB SSD | Wi-Fi 6 | Backlit Keyboard | Chrome OS | CP514-2H-39R7",828,2023-03-24 02:39:10.636937,2023-03-24 02:39:10.636937
3,"Acer Chromebook Enterprise 514 Laptop | Intel Core i3-1115G4 | 14"" Full HD IPS Touch Display | 8GB LPDDR4X | 128GB NVMe SSD | microSD | Intel Wi-Fi 6 | Backlit Keyboard | Chrome OS | CB514-1WT-33MW",739,2023-03-24 02:39:10.666404,2023-03-24 02:39:10.666404
4,"Acer - Chromebook Spin 714 Laptop - 14.0"" 2-in-1 Touchscreen - Intel Evo Core i5 – 8GB – 256GB SSD - Slate Blue Gorilla Glass with Built-in Tablet Pen",596,2023-03-24 02:39:10.688132,2023-03-24 02:39:10.688132
5,"Acer 2023 Spin 2-in-1 714 Chromebook 14"" WUXGA Touchscreen Laptop, 12th Gen Intel 10-Core i5-1235U, 8GB LPDDR4X RAM, 256GB PCIe SSD, WiFi 6, BT 5.2, Backlit KB, Chrome OS, BROAG USB Extension Cable",679,2023-03-24 02:39:10.71718,2023-03-24 02:39:10.71718
6,"2022 Newest Acer Premium Spin 514 Chromebook: 14"" FHD IPS Touch Display, Powerful AMD Ryzen3(Up to 3.5GHz), 4GB RAM, 64GB eMMC SSD, AMD Radeon Graphics, USB-C, WiFi, BT, Backlit-KYB, Chrome OS, T.F",339,2023-03-24 02:39:10.742547,2023-03-24 02:39:10.742547
7,"Acer Chromebook Spin 314 Convertible Laptop | Intel Pentium Silver N6000 | 14"" HD Corning Gorilla Glass Touch Display | 4GB LPDDR4X | 128GB eMMC | Intel Wi-Fi 6 AX201 | Chrome OS | CP314-1H-P9G7",289,2023-03-24 02:39:10.803231,2023-03-24 02:39:10.803231
8,"Acer Chromebook Enterprise 514 Laptop | Intel Core i3-1115G4 | 14"" Full HD IPS Touch Display | 8GB LPDDR4X | 128GB NVMe SSD | microSD | Intel Wi-Fi 6 | Backlit Keyboard | Chrome OS | CB514-1WT-33MW",739,2023-03-24 02:39:10.842833,2023-03-24 02:39:10.842833
9,"Acer Chromebook 514 Laptop | 14"" FHD Display | MediaTek Kompanio 828 Octa-Core Processor | 8GB RAM | 64GB eMMC | Wi-Fi 6 | Backlit KB | Chrome OS | Up to 15 Hours Battery Life | CB514-2H-K7GF",299,2023-03-24 02:39:10.86684,2023-03-24 02:39:10.86684
10,"Acer Chromebook Enterprise Spin 514 Convertible Laptop | AMD Ryzen 5 3500C | 14"" Full HD IPS Touch Display | 8GB DDR4 | 128GB SSD | microSD | Wi-Fi 5 | Backlit Keyboard | Chrome OS | CP514-1WH-R1H8",654,2023-03-24 02:39:10.887161,2023-03-24 02:39:10.887161
11,"Acer Aspire Vero AV15-51-7617 Green PC | 15.6"" FHD IPS 100% sRGB-Display | 11th Gen Intel Core i7-1195G7 | Intel Iris Xe Graphics | 16GB DDR4 | 512GB NVMe SSD | Wi-Fi 6 | PCR Materials | Vero-Sleeve",509,2023-03-24 02:39:10.911371,2023-03-24 02:39:10.911371
12,"Acer - Chromebook Spin 713 2-in-1 13.5"" 2K VertiView 3:2 Touch - Intel i5-10210U - 8GB Memory - 128GB SSD – Steel Gray",699,2023-03-24 02:39:10.932609,2023-03-24 02:39:10.932609
13,"Acer 2022 Premium Chromebook 15.6"" HD Laptop Light Computer Laptop, Intel Celeron N4000 (Up to 2.6GHz), 4GB RAM, 32GB eMMC, HD Webcam, 12+ Hours Battery, Sleeve, Bluetooth, Chrome OS,w/HubxcelCables",229,2023-03-24 02:39:10.95692,2023-03-24 02:39:10.95692
14,"Acer Chromebook 311 Laptop | AMD A-Series Dual-Core A4-9120C | 11.6"" HD Display | AMD Radeon R4 Graphics | 4GB DDR4 | 64GB eMMC | 802.11ac WiFi 5 | Bluetooth 4.2 | Chrome OS | CB311-10H-42LY",142,2023-03-24 02:39:10.977258,2023-03-24 02:39:10.977258
15,"Acer Chromebook Spin 513 R841LT-S6DJ | 13.3"" FHD IPS Touch Corning Gorilla Glass Display | Qualcomm Snapdragon 7c Compute Platform | 8GB LPDDR4X | 128GB eMMC | 4G LTE | WiFi 5 | Chrome OS",569,2023-03-24 02:39:11.044448,2023-03-24 02:39:11.044448
16,"Acer 2022 Newest X360 Chromebook Spin 2-in-1 Convertible Laptop Student Business, Dual-Core Intel Celeron N4000 Processor, 11.6"" HD Touch IPS, 4GB RAM, 64GB eMMC,Wi-Fi 5, Chrome OS+MarxsolCables",259,2023-03-24 02:39:11.066915,2023-03-24 02:39:11.066915
17,"Acer 2022 Flagship Chromebook 15.6"" FHD 1080p IPS Touchscreen Light Laptop, Intel Celeron N4020 (Up to 2.8GHz), 4GB RAM, 64GB eMMC,HD Webcam,Gigabit WiFi, 12+ Hours Battery,Chrome OS,w/HubxcelCables",299,2023-03-24 02:39:11.093683,2023-03-24 02:39:11.093683
18,"Acer Aspire Vero AV15-51-7617 Green PC | 15.6"" FHD IPS 100% sRGB-Display | 11th Gen Intel Core i7-1195G7 | Intel Iris Xe Graphics | 16GB DDR4 | 512GB NVMe SSD | Wi-Fi 6 | PCR Materials | Vero-Sleeve",509,2023-03-24 02:39:11.125076,2023-03-24 02:39:11.125076
19,"Acer 2022 14 inch HD Touchscreen ThinLight Chromebook, Intel Celeron N4000(UP to 2.6GHz), 4GB RAM, 64GB eMMC, WiFi 5, Webcam, Type-A&C, Up to 12 Hours Battery Life, Chrome OS, w/ CUE Accessories",219,2023-03-24 02:39:11.157167,2023-03-24 02:39:11.157167
20,"Acer Aspire 5 A515-45-R74Z Slim Laptop | 15.6"" Full HD IPS | AMD Ryzen 5 5500U Hexa-Core Mobile Processor | AMD Radeon Graphics | 8GB DDR4 | 256GB NVMe SSD | WiFi 6 | Backlit KB | Windows 11 Home",399,2023-03-24 02:39:11.184597,2023-03-24 02:39:11.184597
21,"2022 Newest Acer Spin X360 2-in-1 Convertible Chromebook Laptop Student Business, 11.6"" HD Touchscreen IPS, MediaTek MT8183C 8-Core Processor, 4GB RAM, 32GB eMMC,Wi-Fi 5, Webcam,Chrome OS+HubxcelCable",239,2023-03-24 02:39:11.206366,2023-03-24 02:39:11.206366
22,"ASUS BR1100C 11.6"" HD Rugged Student Laptop, Intel Celeron N4500, 4GB RAM, 128GB eMMC, MIL-STD Durability, Spill-Resistant KB, Type-C, HDMI, RJ45, Wi-Fi 6, Webcam, SPS Wireless Mouse, Windows 10 Pro",154,2023-03-24 02:39:11.235263,2023-03-24 02:39:11.235263
23,"HP 2022 Newest X360 Chromebook Spin 2-in-1 Laptop Student Business, 14'' HD Touchscreen, Dual Core Intel Celeron N4120 Processor, 4GB RAM, 64GB eMMC,Camera, Wi-Fi, Chrome OS+MarxsolCables Forest Teal",299,2023-03-24 02:39:11.264086,2023-03-24 02:39:11.264086
24,"HP 2022 Newest X360 Chromebook Spin 2-in-1 Laptop Student Business, 14'' HD Touchscreen, Dual Core Intel Celeron N4120 Processor, 4GB RAM, 64GB eMMC,Camera, Wi-Fi, Chrome OS+MarxsolCables Forest Teal",299,2023-03-24 02:39:15.296756,2023-03-24 02:39:15.296756
25,"Acer Chromebook Enterprise Spin 514 Convertible Laptop | Intel Core i3-1110G4 | 14"" FHD IPS Touch Gorilla Glass | 8GB LPDDR4X | 128GB SSD | Wi-Fi 6 | Backlit Keyboard | Chrome OS | CP514-2H-39R7",828,2023-03-24 02:39:15.318923,2023-03-24 02:39:15.318923
26,"Acer 2022 Newest Chromebook 17.3"" FHD 1080p Widescreen Light Laptop, Intel Celeron N4500 (Up to 2.8GHz), 4GB RAM, 64GB eMMC,HD Webcam,UHD Graphics, WiFi 6, 10+ Hours Battery,Chrome OS,w/MarxsolCables",339,2023-03-24 02:39:15.344351,2023-03-24 02:39:15.344351
27,"Acer Nitro 5 AN515-57-79TD Gaming Laptop | Intel Core i7-11800H | NVIDIA GeForce RTX 3050 Ti Laptop GPU | 15.6"" FHD 144Hz IPS Display | 8GB DDR4 | 512GB NVMe SSD | Killer Wi-Fi 6 | Backlit Keyboard",739,2023-03-24 02:39:15.376499,2023-03-24 02:39:15.376499
28,"2021 Newest Acer X360 Chromebook Spin 2-in-1 Convertible Laptop Student Business, MediaTek MT8183C 8-Core Processor,11.6"" HD Touch IPS, 4GB RAM, 32GB eMMC,Wi-Fi 5,Bluetooth 5,Chrome OS+ Marxsol Cables",239,2023-03-24 02:39:15.402487,2023-03-24 02:39:15.402487
29,"Acer Chromebook 714 CB714-1Wt-534T 14"" Touchscreen Chromebook - 1920 X 1080 - Core i5 i5-8250U - 8 GB RAM - 64 GB Flash Memory - Chrome OS - Intel UHD Graphics 620 - in-Plane Switching (IPS) Tech",0,2023-03-24 02:39:15.424775,2023-03-24 02:39:15.424775
30,"Acer Chromebook Spin 713: Intel Core i3-10110U, 4GB DDR4, 64GB eMMC, 13.5"" 2K VertiView Touchscreen, Backlit Keyboard, Google Chrome OS",0,2023-03-24 02:39:15.450782,2023-03-24 02:39:15.450782
31,"Acer Chromebook 314, Intel Celeron N4000, 14"" Full HD Display, 4GB LPDDR4, 64GB eMMC, Gigabit WiFi, Google Chrome, CB314-1H-C884",196,2023-03-24 02:39:15.470997,2023-03-24 02:39:15.470997
32,"Acer Flagship Chromebook 12"" HD+ Display Laptop for Student, Intel Celeron N4020 Up to 2.8GHz, 4GB LPDDR4, 32GB eMMC, Webcam, WiFi 5, Zoom Meeting, Chrome OS w/ Accessories",169,2023-03-24 02:39:15.508718,2023-03-24 02:39:15.508718
33,"Acer Chromebook Enterprise Spin 514 Convertible Laptop | Intel Core i3-1110G4 | 14"" FHD IPS Touch Gorilla Glass | 8GB LPDDR4X | 128GB SSD | Wi-Fi 6 | Backlit Keyboard | Chrome OS | CP514-2H-39R7",828,2023-03-24 02:39:15.547852,2023-03-24 02:39:15.547852
34,"Acer Aspire Vero AV15-51-7617 Green PC | 15.6"" FHD IPS 100% sRGB-Display | 11th Gen Intel Core i7-1195G7 | Intel Iris Xe Graphics | 16GB DDR4 | 512GB NVMe SSD | Wi-Fi 6 | PCR Materials | Vero-Sleeve",509,2023-03-24 02:39:15.575361,2023-03-24 02:39:15.575361
35,"ASUS BR1100C 11.6"" HD Rugged Student Laptop, Intel Celeron N4500, 4GB RAM, 128GB eMMC, MIL-STD Durability, Spill-Resistant KB, Type-C, HDMI, RJ45, Wi-Fi 6, Webcam, SPS Wireless Mouse, Windows 10 Pro",154,2023-03-24 02:39:15.602576,2023-03-24 02:39:15.602576
36,"Acer Aspire 5 A515-56-36UT, 15.6"" Full HD Display, 11th Gen Intel Core i3-1115G4 Processor, 4GB DDR4, 128GB NVMe SSD, WiFi 6, Windows 11 Home (S Mode)",292,2023-03-24 02:39:15.626529,2023-03-24 02:39:15.626529
37,"Acer Chromebook Spin 511 R753T R753T-C1PT 11.6"" Touchscreen Convertible 2 in 1 Chromebook - HD - 1366 x 768 - Intel Celeron N5100 Quad-core (4 Core) 1.10 GHz - 8 GB RAM - 64 GB Flash Memory",479,2023-03-24 02:39:15.647423,2023-03-24 02:39:15.647423
38,"Acer Chromebook Enterprise 515 Laptop | Intel Core i3-1115G4 | 15.6"" Full HD IPS Touch Display | 8GB LPDDR4X | 128GB NVMe SSD | microSD | Intel Wi-Fi 6 | Backlit Keyboard | Chrome OS | CB515-1WT-32RB",749,2023-03-24 02:39:15.672312,2023-03-24 02:39:15.672312
39,"Acer Swift 3 OLED Intel Evo Thin & Light Laptop | 14"" OLED 2880x1800 | Intel Core i7-12700H | Intel Iris Xe Graphics | 16GB LPDDR5 | 1TB SSD | Killer Wi-Fi 6E AX1675 | Windows 11 Home | SF314-71-75MW",1,2023-03-24 02:39:15.694819,2023-03-24 02:39:15.694819
40,"Acer 2023 Cloud Gaming Chromebook 516 GE 16"" WQXGA 2560 x 1600 120Hz Laptop, 12th Gen Intel 12-Core i5-1240P up to 4.4GHz, 8GB LPDDR4X RAM, 256GB PCIe SSD, WiFi 6, BT 5.2, RGB Backlit KB, Chrome OS",649,2023-03-24 02:39:15.718822,2023-03-24 02:39:15.718822
